plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PD5	F1	OK	20.13	8.1	16.1	10.0
PD5	G1	conc below target	6.41	0	8.0	6.41
PD5	H1	conc below target	5.67	0	8.0	5.67
PD5	A2	conc below target	0.0	0	8.0	0.0
PD5	B2	OK	23.04	10.4	18.43	10.0
PD5	C2	conc below target	1.23	0	8.0	1.23
PD5	D2	conc below target	0.01	0	8.0	0.01
PD5	E2	conc below target	4.63	0	8.0	4.63
PD5	F2	conc below target	0.92	0	8.0	0.92
PD5	G2	conc below target	1.76	0	8.0	1.76
PD5	H2	OK	18.66	6.9	14.93	10.0
PD5	A3	conc below target	1.71	0	8.0	1.71
PD5	B3	conc below target	0.0	0	8.0	0.0
PD5	C3	conc below target	0.0	0	8.0	0.0
PD5	D3	conc below target	0.0	0	8.0	0.0
PD5	E3	conc below target	0.67	0	8.0	0.67
PD5	F3	conc below target	8.16	0	8.0	8.16
PD5	G3	transfer too small	14.47	0	8.0	14.47
PD5	H3	conc below target	9.77	0	8.0	9.77
PD5	A4	conc below target	8.01	0	8.0	8.01
PD5	B4	conc below target	0.0	0	8.0	0.0
PD5	C4	conc below target	0.09	0	8.0	0.09
PD5	D4	conc below target	0.06	0	8.0	0.06
PD5	E4	conc below target	5.95	0	8.0	5.95
PD5	F4	conc below target	2.02	0	8.0	2.02
PD5	G4	conc below target	0.82	0	8.0	0.82
PD5	H4	conc below target	0.61	0	8.0	0.61
PD5	A5	conc below target	0.28	0	8.0	0.28
PD5	B5	conc below target	0.0	0	8.0	0.0
PD5	C5	conc below target	0.0	0	8.0	0.0
PD5	D5	conc below target	0.0	0	8.0	0.0
PD5	E5	conc below target	6.69	0	8.0	6.69
PD5	F5	conc below target	2.3	0	8.0	2.3
PD5	G5	conc below target	6.78	0	8.0	6.78
PD5	H5	OK	19.38	7.5	15.5	10.0
PD5	A6	conc below target	0.0	0	8.0	0.0
PD5	B6	conc below target	0.0	0	8.0	0.0
PD5	C6	conc below target	0.0	0	8.0	0.0
PD5	D6	conc below target	0.0	0	8.0	0.0
PD5	E6	conc below target	4.09	0	8.0	4.09
PD5	F6	conc below target	1.34	0	8.0	1.34
PD5	G6	conc below target	3.52	0	8.0	3.52
PD5	H6	transfer too small	15.49	0	8.0	15.49
PD5	A7	conc below target	0.0	0	8.0	0.0
PD5	B7	conc below target	0.0	0	8.0	0.0
PD5	C7	conc below target	0.0	0	8.0	0.0
PD5	D7	conc below target	0.0	0	8.0	0.0
PD5	E7	conc below target	0.51	0	8.0	0.51
PD5	F7	conc below target	0.34	0	8.0	0.34
PD5	G7	conc below target	0.0	0	8.0	0.0
PD5	H7	conc below target	0.0	0	8.0	0.0
PD5	A8	conc below target	9.67	0	8.0	9.67
PD5	B8	conc below target	0.27	0	8.0	0.27
PD5	C8	conc below target	0.21	0	8.0	0.21
PD5	D8	conc below target	0.0	0	8.0	0.0
PD5	E8	conc below target	7.78	0	8.0	7.78
PD5	F8	conc below target	2.06	0	8.0	2.06
PD5	G8	conc below target	2.44	0	8.0	2.44
PD5	H8	conc below target	0.0	0	8.0	0.0
PD5	A9	conc below target	0.0	0	8.0	0.0
PD5	B9	conc below target	0.0	0	8.0	0.0
PD5	C9	conc below target	1.14	0	8.0	1.14
PD5	D9	conc below target	0.81	0	8.0	0.81
PD5	E9	conc below target	0.0	0	8.0	0.0
PD5	F9	conc below target	0.46	0	8.0	0.46
PD5	G9	conc below target	0.71	0	8.0	0.71
