plate_name,well,value,conc,r2,comment
PD9,E03,33457,55.75,0.98,
PD9,F03,1436,0.25,0.98,
PD9,G03,1191,0.00,0.98,
PD9,H03,51146,86.41,0.98,
PD9,A04,984,0.00,0.98,
PD9,B04,11963,18.50,0.98,
PD9,C04,1491,0.35,0.98,
PD9,D04,3357,3.58,0.98,
PD9,E04,2855,2.71,0.98,
PD9,F04,21015,34.19,0.98,
PD9,G04,25454,41.88,0.98,
PD9,H04,24049,39.45,0.98,
PD9,A05,3560,3.93,0.98,
PD9,B05,2697,2.44,0.98,
PD9,C05,844,0.00,0.98,
PD9,D05,29303,48.55,0.98,
PD9,E05,27224,44.95,0.98,
PD9,F05,4753,6.00,0.98,
PD9,G05,17223,27.62,0.98,
PD9,H05,2641,2.34,0.98,
PD9,A06,22120,36.10,0.98,
PD9,B06,2046,1.31,0.98,
PD9,C06,837,0.00,0.98,
PD9,D06,1145,0.00,0.98,
PD9,E06,2999,2.96,0.98,
PD9,F06,2823,2.66,0.98,
PD9,G06,5635,7.53,0.98,
PD9,H06,5090,6.59,0.98,
PD9,A07,1647,0.62,0.98,
PD9,B07,4286,5.19,0.98,
PD9,C07,18216,29.34,0.98,
PD9,D07,5735,7.70,0.98,
PD9,E07,1475,0.32,0.98,
PD9,F07,2261,1.68,0.98,
PD9,G07,18915,30.55,0.98,
PD9,H07,3204,3.32,0.98,
PD9,A08,2918,2.82,0.98,
PD9,B08,20807,33.83,0.98,
PD9,C08,938,0.00,0.98,
PD9,D08,3616,4.03,0.98,
PD9,E08,905,0.00,0.98,
