Sample_ID,Well,Plate,Country,RNA_conc(ng/µl),Aim conc (ng/µl),Final conc (ng/µl),RNA (µl),H2O (µl),End_vol (µl),,Final Conc.Total (ng),,,
CFR0237,H09,RPA0004,FRA,87.4,20.0,17.5,10.0,40.0,50.0,50.0,874.0,,,
CFR0440,A10,RPA0004,FRA,24.6,20.0,12.3,25.0,25.0,50.0,50.0,615.0,,,
CFR0071,B10,RPA0004,FRA,241.7,20.0,20.2,4.2,46.0,50.0,50.2,1011.1,,,
CFR0414,C10,RPA0004,FRA,209.4,20.0,20.1,4.8,45.2,50.0,50.0,1005.1,,,
CGR0265,D10,RPA0004,GER,212.1,20.0,19.5,4.6,45.4,50.0,50.0,975.7,,,
CGR0138,E10,RPA0004,GER,210.6,20.0,20.2,4.8,45.2,50.0,50.0,1010.9,,,
CAR0419,F10,RPA0004,USA,95,20.0,19.0,10.0,40.0,50.0,50.0,950.0,,,
CGR0203,G10,RPA0004,GER,173.1,20.0,20.1,5.8,44.2,50.0,50.0,1004.0,,,
CAR0821,H10,RPA0004,USA,137.1,20.0,19.7,7.2,43.0,50.0,50.2,983.2,,,
CGR0167,A11,RPA0004,GER,316.5,20.0,20.2,3.2,47.0,50.0,50.2,1008.8,,,
CGR0173,B11,RPA0004,GER,90.2,20.0,18.0,10.0,40.0,50.0,50.0,902.0,,,
CGR0428,C11,RPA0004,GER,180.4,20.0,20.2,5.6,44.4,50.0,50.0,1010.2,,,
CAR0728,D11,RPA0004,USA,82.9,20.0,16.6,10.0,40.0,50.0,50.0,829.0,,,
CAR0725,E11,RPA0004,USA,57.2,20.0,20.1,17.6,32.4,50.0,50.0,1006.7,,,
CFR0251,F11,RPA0004,FRA,203.4,20.0,20.3,5.0,45.0,50.0,50.0,1017.0,,,
CAR0511,G11,RPA0004,USA,37.6,20.0,18.8,25.0,25.0,50.0,50.0,940.0,,,
CAR0847,H11,RPA0004,USA,289.2,20.0,19.7,3.4,46.6,50.0,50.0,983.3,,,
blank,A12,RPA0004,BLANK,13.5,20.0,6.8,25.0,25.0,50.0,50.0,337.5,,,
CGR0437,B12,RPA0004,GER,83.3,20.0,16.7,10.0,40.0,50.0,50.0,833.0,,,
CFR0142,C12,RPA0004,FRA,155.5,20.0,19.9,6.4,43.6,50.0,50.0,995.2,,,
CGR0042,D12,RPA0004,GER,56.8,20.0,20.4,18.0,32.0,50.0,50.0,1022.4,,,
CFR0331,E12,RPA0004,FRA,138.7,20.0,20.0,7.2,42.8,50.0,50.0,998.6,,,
CGR0236,F12,RPA0004,GER,53,20.0,20.1,19.0,31.0,50.0,50.0,1007.0,,,
CGR0262,G12,RPA0004,GER,74.6,20.0,22.4,15.0,35.0,50.0,50.0,1119.0,,,
CFR0044,H12,RPA0004,FRA,46.7,20.0,20.5,22.0,28.0,50.0,50.0,1027.4,,,
CFR0010,A01,RPA0005,FRA,38.3,20.0,19.2,25.0,25.0,50.0,50.0,957.5,,,
CGR0082,B01,RPA0005,GER,155.6,20.0,21.8,7.0,43.0,50.0,50.0,1089.2,,,
CGR0375,C01,RPA0005,GER,183.2,20.0,19.8,5.4,44.6,50.0,50.0,989.3,,,
CGR0370,D01,RPA0005,GER,246.7,20.0,19.7,4.0,46.0,50.0,50.0,986.8,,,
CFR0234,E01,RPA0005,FRA,140.2,20.0,19.6,7.0,43.0,50.0,50.0,981.4,,,
CAR0744,F01,RPA0005,USA,49.3,20.0,19.7,20.0,30.0,50.0,50.0,986.0,,,
CFR0048,G01,RPA0005,FRA,67.5,20.0,20.3,15.0,35.0,50.0,50.0,1012.5,,,
CGR0145,H01,RPA0005,GER,134.3,20.0,21.5,8.0,42.0,50.0,50.0,1074.4,,,
CFR0313,A02,RPA0005,FRA,21.8,20.0,10.9,25.0,25.0,50.0,50.0,545.0,,,
CAR0426,B02,RPA0005,USA,472.9,20.0,20.8,2.2,47.8,50.0,50.0,1040.4,,,
CFR0333,C02,RPA0005,FRA,216.4,20.0,21.6,5.0,45.0,50.0,50.0,1082.0,,,
CFR0489,D02,RPA0005,FRA,132.1,20.0,21.1,8.0,42.0,50.0,50.0,1056.8,,,
CAR0657,E02,RPA0005,USA,48,20.0,20.2,21.0,29.0,50.0,50.0,1008.0,,,
CGR0185,F02,RPA0005,GER,202.9,20.0,20.3,5.0,45.0,50.0,50.0,1014.5,,,
CFR0162,G02,RPA0005,FRA,118.7,20.0,21.4,9.0,41.0,50.0,50.0,1068.3,,,
